BrandName,Deatils,Sizes,MRP,SellPrice,Discount,Category
samshek,solid polyester v-neck womens regular top - black,"4X-Large,5X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XX-Small,XXX-Large",1690,1352,20% off,Westernwear
kraus,solid cotton blend comfort fit womens joggers - fuchsia,"28,30,32,34",1695,847,50% off,Westernwear
faballey,solid regular fit crepe womens casual pants - green,"Large,Medium,Small,X-Large,X-Small",1950,1560,20% off,Westernwear
van heusen,printed polyester round neck womens top - pink,"Large,Medium,Small,X-Large,X-Small",1999,999,50% off,Westernwear
and,stripes viscose collar neck womens regular top - blue mix light,"8,10,12,14,16",2099,1679,20% off,Westernwear
only,straight fit below knee viscose womens casual skirt - natural,"34,36,38,40",2999,1799,40% off,Westernwear
sera,womens regular fit printed jumpsuit - black,"Large,Medium,X-Large",1098,549,50% off,Westernwear
crimsoune club,printed round neck lyocell womens dresses - navy,"Large,Medium,Small,X-Large,XX-Large",1699,1189,30% off,Westernwear
only,placement print cotton round neck womens t-shirt - white,"Large,Medium,Small,X-Large,X-Small",1499,899,40% off,Westernwear
de moza,dyed cotton womens casual wear shrug - off white,"Large,Medium",1499,899,40% off,Westernwear
forever new,solid polyster high neck womens top - black,"Medium,Small,X-Small",3800,1710,55% off,Westernwear
crimsoune club,womens cream printed shirt - cream,"Large,Medium,Small,X-Large,XX-Large,XXX-Large",1399,1119,20% off,Westernwear
and,printed viscose round neck womens top - peach,"8,10,12,14,16,18",2499,1249,50% off,Westernwear
life,embroidered smoking collar cotton womens denim shirt - navy,"Large,Medium,Small,X-Large,X-Small",1199,599,50% off,Westernwear
only,solid cotton womens top - black,"34,36,38,40,42",2499,1749,30% off,Westernwear
latin quarters,printed polyester rayon lapel neck womens regular top - pink,"S,M,L,XL,X-Small",1499,749,50% off,Westernwear
kraus,solid tencel collar neck womens casual wear shirt - light blue,"Large,Medium,Small,X-Small",1299,1169,10% off,Westernwear
rare,colour blocked 3/4th sleeves polyester womens full length jumpsuit - mustard,"Large,Medium,Small,X-Large",1999,899,55% off,Westernwear
marie claire,solid viscose rayon boat neck womens top - white,"Large,Medium,Small",1699,849,50% off,Westernwear
magre,solid polyester blend v neck womens top - wine,"Large,X-Small",1490,596,60% off,Westernwear
global desi,solid key hole neck womens tunic - pink,"Medium,Small,X-Small",2799,1399,50% off,Westernwear
zink london,checks mandarin neck cotton womens shift dress - multi,Small,2199,879,60% off,Westernwear
zink london,womens v neck floral print flared dress - black,"Small,X-Small",2299,699,70% off,Westernwear
faballey,solid cotton square neck womens tiered dress - red,X-Small,1950,975,50% off,Westernwear
zink london,printed polyester womens peplum dress - pink,Large,2299,699,70% off,Westernwear
faballey,solid v neck polyester blend womens regular dresses - pink,"X-Large,XX-Large,XXX-Large",2100,1050,50% off,Westernwear
magre,solid polyester blend regular fit womens casual pants - navy,"Medium,Small,X-Small",2390,1434,40% off,Westernwear
allen solly,printed rayon regular neck womens top - yellow,"Large,Medium,Small,X-Large,X-Small,XX-Large",1699,1499,12% off,Westernwear
faballey,solid key hole neck cotton womens boxy fit midi dress - blue,"Small,X-Large",1900,950,50% off,Westernwear
kraus,solid cotton blend womens casual wear jacket - light olive,"Large,Medium,Small,X-Large",2095,1047,50% off,Westernwear
faballey,printed georgette v neck womens regular dress - peach,"Large,Medium,Small,X-Large,X-Small",1950,1560,20% off,Westernwear
enamor,cotton blend womens active wear track pants - champagne,"XL,Large,Medium,Small,XX-Large",1049,734,30% off,Westernwear
vero moda,printed v neck viscose womens midi dress - green,"Large,Medium,Small,X-Large,X-Small",3499,2449,30% off,Westernwear
insense,half sleeves night wear womens t-shirt - pink,"Medium,Small,X-Small",399,199,50% off,Westernwear
dolce crudo,womens better than ever patch denim joggers - blue,"26,28,30,32,34",2349,1057,55% off,Westernwear
vero moda,printed viscose v neck womens dress - blue,"Large,Medium,Small,X-Large,X-Small",2999,2099,30% off,Westernwear
allen solly,solid cotton v neck womens top - peach,"Large,Medium,Small,X-Large,X-Small,XX-Large",1699,1019,40% off,Westernwear
and,solid collar neck viscose womens flared dresses - yellow,"8,10,12,14,16,18",2499,1999,20% off,Westernwear
only,stripes round neck polyester womens t-shirt - pink,"Large,Medium,Small,X-Large,X-Small",1999,999,50% off,Westernwear
indya,embroidered silk v neck womens regular top - maroon,"Medium,Small",1700,850,50% off,Westernwear
vero moda,printed boat neck viscose womens top - cobalt,"Large,Medium,Small,X-Large,X-Small",1799,1439,20% off,Westernwear
and,polka dots round neck cotton womens shift top - blue,16,1499,749,50% off,Westernwear
zink london,floral polyester round neck womens shirt - off white,"Large,Medium,Small,X-Large,X-Small,XX-Large",1699,1019,40% off,Westernwear
lovegen,womens band collar assorted front tie up denim crop top - blue,"Medium,Small,X-Large",1499,449,70% off,Westernwear
only,solid cotton round neck womens t-shirt - pink,"Large,Medium,Small,X-Large,X-Small",1799,899,50% off,Westernwear
crimsoune club,solid round neck poly cotton womens sweatshirt - white,"Large,Small,X-Large,XX-Large",1399,699,50% off,Westernwear
dolce crudo,womens regular fit dream come true highrise jeans light blue - light blue,"26,28,30,32,34",2499,999,60% off,Westernwear
faballey,stripes cotton scoop neck womens top - blue,X-Small,1300,650,50% off,Westernwear
zink london,printed polyester v neck womens top - pink,"Large,Medium,Small,X-Large",1799,899,50% off,Westernwear
vero moda,printed polyester 3/4 sleeves womens three quarter length jumpsuit - white,"Large,Medium,Small,X-Large,X-Small",3799,3039,20% off,Westernwear
zink london,textured polyester off shoulder womens top - pink,"Large,Medium,Small,X-Large,X-Small,XX-Large",1799,1079,40% off,Westernwear
faballey,solid crepe collared womens wrap dress - green,"4X-Large,X-Large,XX-Large,XXX-Large",2450,1225,50% off,Westernwear
enamor,womens slub long shrug - grey,"Large,Medium,Small",799,559,30% off,Westernwear
global desi,floral shirt collar womens tunic - off white,"XL,Large,Medium,Small,X-Small",1799,719,60% off,Westernwear
faballey,geometric short sleeves crepe womens regular length jumpsuit - pink,"Large,Medium,Small,X-Large,X-Small",2600,2080,20% off,Westernwear
zink london,printed scoop neck polyester womens dresses - yellow,"Large,Medium,Small,X-Small",2299,919,60% off,Westernwear
latin quarters,solid polyester stretch mandarin womens casual jacket - navy,"S,M,L,XL",3999,2799,30% off,Westernwear
zink london,printed v neck polyester womens dresses - black,"Large,Medium,Small,X-Large",2299,919,60% off,Westernwear
zink london,solid sleeveless polyester womens jumpsuit - green,"Large,Medium,Small,X-Large",2999,2399,20% off,Westernwear
fratini,solid square neck polyester blend womens sweatshirt - off white,"Large,Medium,Small,X-Large,XX-Large",1299,649,50% off,Westernwear
zink london,womens structure square neck shift dress - red,XX-Large,2399,699,71% off,Westernwear
insense,womens  round neck  printed t-shirt - red,"Large,Medium,Small,X-Large,X-Small",499,249,50% off,Westernwear
life,regular fit regular length cotton lycra womens jeans - grey,"26,28,30,32,34,36",1699,849,50% off,Westernwear
only,placement print cotton womens t-shirt - purple,"Large,Medium,Small,X-Small",1999,1399,30% off,Westernwear
life,printed cotton round neck womens regular t-shirt - black,"Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,50% off,Westernwear
madame,womens stripes v neck top - lemon,"Large,Medium,Small,X-Large",1699,849,50% off,Westernwear
zink london,acrylic women sweaters - natural,"Large,X-Large",3999,1599,60% off,Westernwear
zink london,polyester women regular dress - peach,XX-Large,3999,1599,60% off,Westernwear
rare,solid collarless polyester womens casual shirt - green,"Large,Medium,Small,X-Large",1590,636,60% off,Westernwear
marie claire,printed viscose rayon v-neck womens top - multi,"Large,Medium,Small",1499,674,55% off,Westernwear
allen solly,solid viscose round neck womens knit top - olive,"Large,X-Small",1599,959,40% off,Westernwear
latin quarters,solid 100% rayon round neck womens blouson casual top - pink,M,1499,499,67% off,Westernwear
zink london,womens off shoulder neck stripe skater dress - black,"Large,Small,X-Small",2799,699,75% off,Westernwear
cover story,printed round neck polyester womens regular top - black,X-Small,2590,990,62% off,Westernwear
sera,womens regular fit solid round neck blouson top - black,"Large,Small",1098,439,60% off,Westernwear
sera,womens regular fit printed flared skirt - off white,"Large,Medium,Small",1294,517,60% off,Westernwear
vero moda,printed cotton square neck womens top - white,"Large,Medium,Small,X-Small",1999,1399,30% off,Westernwear
only,casual fit cropped cotton womens jeans - grey,"Large,Medium,Small,X-Large",3999,2799,30% off,Westernwear
vero moda,printed shirt collar cotton womens casual shirt - white,"Large,Medium,Small,X-Small",2799,1399,50% off,Westernwear
van heusen,solid polyester collared neck womens regular fit shirt - maroon,"X-Small,XX-Large",1699,999,41% off,Westernwear
adidas,regular fit polyester womens casual shorts - black,"Large,Medium,Small,X-Large,X-Small",1799,1259,30% off,Westernwear
is.u,womens yellow pussy bow top - yellow,"Large,Medium,Small,X-Small",2490,1245,50% off,Westernwear
109f,womens off shoulder neck checked top - navy,"Small,X-Large",1299,519,60% off,Westernwear
stop,solid regular neck acrylic womens pullover - olive,"Medium,Small,X-Large,XX-Large",1499,749,50% off,Westernwear
enamor,cotton blend womens active wear track pants - navy,"XL,Large,Medium,Small,XX-Large",1699,1189,30% off,Westernwear
infuse,solid tencel off shoulder womens regular fit woven top - blue,"Large,Medium,Small,X-Large,X-Small",999,599,40% off,Westernwear
vero moda,printed full sleeves polyester womens full length jumpsuits - blue,"Large,Medium,Small,X-Large,X-Small",5299,4239,20% off,Westernwear
only,embroidered cotton womens t-shirt - pink,"Large,Medium,Small,X-Large,X-Small",2299,1609,30% off,Westernwear
insense,womens cotton printed capri set - red,Medium,999,499,50% off,Westernwear
reebok,slim fit reebok fitness womens tights - black,"Large,Medium,Small,X-Large,X-Small",2199,1099,50% off,Westernwear
vero moda,solid flared cotton womens casual wear pants - green,"Large,Medium,Small,X-Large,X-Small",2999,2399,20% off,Westernwear
cover story,solid round neck cotton poly spandex womens regular dress - green,"Large,Medium,Small,X-Large,X-Small",2290,1374,40% off,Westernwear
lovegen,skinny fit ankle length cotton polyesterwomens jeans - pink,"26,28,30,32,34,36",1899,759,60% off,Westernwear
insense,half sleeves night wear womens t-shirt - red,"Large,Medium,Small,X-Small",399,199,50% off,Westernwear
van heusen,printed viscose v neck womens top - mid blue,"Large,Medium,Small,X-Large",1699,999,41% off,Westernwear
and,stripes v-neck rayon womens regular top - multi,"8,10,12,14",2099,1679,20% off,Westernwear
life,regular fit full length cotton womens athleisure tracks - blush,"28,30,32,34,36",799,399,50% off,Westernwear
pepe,solid cotton round neck womens dress - dark blue,"Large,Medium,Small,X-Large",3499,2099,40% off,Westernwear
life,patch cotton round neck womens regular fit t-shirt - navy,"Medium,Small,X-Small",499,249,50% off,Westernwear
adidas,solid cotton round neck womens t-shirt - blue,"Large,Medium,Small,X-Large,X-Small",1599,799,50% off,Westernwear
zink london,printed halter neck polyester womens a-line dress - black,"Large,Medium,Small,X-Large,X-Small",2799,1119,60% off,Westernwear
zink london,polka dots square neck polyester blend womens fit and flare dress - blue,"Large,Medium,X-Large,XX-Large",2299,919,60% off,Westernwear
109f,womens v neck checked top - black,"Large,Medium,Small",1499,599,60% off,Westernwear
allen solly,womens slub formal trousers - grey,"28,34,36",1799,1439,20% off,Westernwear
sera,printed round neck cotton womens fit and flare dress - navy,X-Large,1894,947,50% off,Westernwear
latin quarters,printed v- neck 100% polyester womens high low dress - blue,S,2499,799,68% off,Westernwear
magre,solid polyester blend regular fit womens casual pants - maroon,"Large,X-Small",2390,1434,40% off,Westernwear
sera,floral square neck polyester womens regular dress - blue,"Large,Medium,Small,X-Large",1998,999,50% off,Westernwear
zink london,geometric polyester halter neck womens top - off white,"Large,Medium,Small,X-Large,X-Small",1599,959,40% off,Westernwear
magre,solid satin cowl neck womens sheath dress - wine,Medium,3890,2139,45% off,Westernwear
vero moda,printed cotton round neck womens t-shirt - blue,"Large,Medium,Small,X-Large,X-Small",999,799,20% off,Westernwear
lovegen,womens off shoulder solid top - navy,Small,1899,379,80% off,Westernwear
life,stripes cotton round neck womens regular t-shirt - mustard,"Large,Medium,Small,X-Large,X-Small,XX-Large",499,249,50% off,Westernwear
is.u,solid polyester round neck womens regular top - black,"Medium,Small,X-Large,X-Small,XX-Large",2190,1095,50% off,Westernwear
puma,polyester round neck womens athleisure top - black,"Large,Medium,Small,X-Large,X-Small",1499,1049,30% off,Westernwear
vero moda,printed shirt collar modal womens casual shirt - white,"Large,Medium,Small,X-Small",2499,1249,50% off,Westernwear
and,abstract polyester v-neck womens peplum top - natural,"8,10,14",1699,849,50% off,Westernwear
forever new,solid regular linen womens casual wear pants - pink,"6,8,10,12,14,16",4600,3220,30% off,Westernwear
forever new,printed polyester v neck womens regular dress - print,6,5800,4060,30% off,Westernwear
only,skinny fit regular viscose womens jeans - light blue,"Large,Medium,Small,X-Large,X-Small",1999,1599,20% off,Westernwear
kraus,clean look cotton wide fit womens jeans - blue,36,1895,947,50% off,Westernwear
and,floral linen square neck womens straight top - white,"8,10,12,14,16,18",2299,1839,20% off,Westernwear
adidas,printed cotton crew neck womens t-shirt - black,28,1999,1399,30% off,Westernwear
adidas,regular fit regular length polyester blend womens leggings - black,"Large,Medium,Small,X-Large,X-Small",3999,1999,50% off,Westernwear
sera,printed polyester blend womens shrug - multi,"Large,Medium,Small,X-Large",1494,747,50% off,Westernwear
vero moda,solid viscose v neck womens top - yellow,"Large,Medium,Small,X-Large,X-Small",2599,2079,20% off,Westernwear
only,stripes polyester womens cropped top - yellow,"34,36,38,40,42",1499,749,50% off,Westernwear
sera,womens regular fit solid high neck top - grey melange,"Large,Medium,Small,X-Large",1094,547,50% off,Westernwear
crimsoune club,stripes lyocell mandarin womens shirt - natural,"Large,Medium,X-Large,XXX-Large",1399,979,30% off,Westernwear
puma,polyester mid rise regular fit womens athleisure pants - purple,"Large,Medium,Small,X-Large,X-Small",3999,2799,30% off,Westernwear
faballey,embellished round neck crepe womens regular dress - green,"Large,Medium,Small",2250,1125,50% off,Westernwear
is.u,slim fit mini length denim womens casual skirt - blue,"24,26",1799,899,50% off,Westernwear
u.s. polo assn.,polka dots georgette sweetheart neck womens wrap top - white,"Large,Medium,Small,X-Large,X-Small",1500,750,50% off,Westernwear
only,solid polyester round neck womens t-shirt - purple,"Large,Medium,Small,X-Large,X-Small",1999,1599,20% off,Westernwear
zink london,textured cotton square neck womens dress - blue,"Large,Medium,Small,X-Large,X-Small,XX-Large",2499,1499,40% off,Westernwear
faballey,solid square neck crepe womens a-line dress - green,"Medium,Small",2100,1050,50% off,Westernwear
faballey,floral sleeveless georgette womens regular length jumpsuit - yellow,"Large,Medium,Small,X-Large",2200,1100,50% off,Westernwear
sera,floral sleeveless cotton womens regular jumpsuits - navy,"Large,Medium,X-Large",2998,1499,50% off,Westernwear
allen solly,womens solid pencil skirt - dark blue,32,1699,1019,40% off,Westernwear
kraus,solid v neck tencel womens casual shirt - light blue,Small,1399,699,50% off,Westernwear
latin quarters,dyed v-neck cotton womens regular dress - black,"S,M,X-Small",1999,999,50% off,Westernwear
cover story,solid cotton round neck womens sweater - ivory,"Large,Medium,Small,X-Large,X-Small",2290,1374,40% off,Westernwear
life,printed cotton round neck womens regular t-shirt - navy,"Large,Small,X-Large,X-Small",399,199,50% off,Westernwear
forever new,solid acrylic round neck womens top - black,"Small,X-Small",3800,2850,25% off,Westernwear
latin quarters,dyed polyester round neck womens regular top - white,X-Small,1799,499,72% off,Westernwear
stop,printed georgette round neck womens regular fit top - off white,"Large,Medium,XX-Large",1299,649,50% off,Westernwear
and,floral off shoulder viscose womens knee length dress - red,"8,10,12,14",1799,899,50% off,Westernwear
zink london,structured polyester round neck womens straight fit top - red,"Small,X-Large,X-Small",1899,759,60% off,Westernwear
zink london,solid 3/4th sleeves polyester womens calf length jumpsuit - green,"Large,Medium,Small,X-Large,XX-Large",2899,1159,60% off,Westernwear
zink london,printed round neck cotton blend womens sweatshirt - white,"Medium,Small,X-Large",2299,919,60% off,Westernwear
zink london,solid round neck cotton womens midi dress - blue,"Large,Medium,Small,X-Large",2699,1619,40% off,Westernwear
latin quarters,solid rayon blend round neck womens regular top - grey,S,1999,499,75% off,Westernwear
latin quarters,printed polyester round neck womens regular top - blue,"S,M,L,XL,XX-Large",1599,1119,30% off,Westernwear
sera,womens regular fit printed v neck wrap dress - black,"Large,Medium,Small,X-Large",1498,749,50% off,Westernwear
and,solid nylon boat neck womens straight top - black,"8,10,12,14,16",2299,1839,20% off,Westernwear
marie claire,solid polyester square neck womens top - maroon,"Large,Small,X-Small",1699,764,55% off,Westernwear
and,solid polyester v- neck women regular top - orange,"8,10,12,14,16,18",1699,1189,30% off,Westernwear
madame,womens checks collared dress - natural,"Large,Medium,XX-Large",2699,1349,50% off,Westernwear
global desi,self design v-neck womens top - black,"Small,X-Small",2399,1439,40% off,Westernwear
life,women cotton regular sleepwear - multi,"Large,Medium,X-Small",1199,599,50% off,Westernwear
dolce crudo,womens flared alive and well mid rise bootcut jeans blue - blue,"26,28,30,32,34",2499,999,60% off,Westernwear
only,printed cotton round neck womens t-shirt - purple,"Large,Medium,Small,X-Large,X-Small",1999,1399,30% off,Westernwear
only,printed polyester round neck womens top - blue,"Large,Medium,Small,X-Large,X-Small",2499,1749,30% off,Westernwear
and,solid cotton round neck womens straight top - lilac,"8,10,12,14,16,18",1399,1119,20% off,Westernwear
spykar,stripes cotton round neck womens t-shirt - orange,"Large,Medium,Small,X-Large",1399,979,30% off,Westernwear
cover story,solid poly spandex collar neck womens top - olive,"Large,Medium,Small,X-Large,X-Small",1490,1043,30% off,Westernwear
faballey,polka dots mesh v neck womens top - blue,"Large,Medium,Small,X-Large,X-Small",1600,1280,20% off,Westernwear
life,solid round neck viscose womens regular top - blue,"Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear
latin quarters,printed polyester womens regular dress - ivory,"S,M,L,XL,X-Small",2599,1299,50% off,Westernwear
spykar,printed cotton round neck womens t-shirt - navy,"Large,Medium,Small,X-Large",1099,769,30% off,Westernwear
faballey,floral round neck georgette womens a-line dress - pink,"Large,Medium,Small,X-Large,X-Small",2250,1800,20% off,Westernwear
vero moda,printed cotton blend round neck womens t-shirt - black,"Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear
zink london,lace polyester v neck womens top - blue,"Large,Medium,Small,X-Large",1999,1599,20% off,Westernwear
proline,polyester off shoulder womens tank - black,"Large,Medium,Small,X-Large",899,449,50% off,Westernwear
global desi,women v-neck floral a-line shrug - off white,"XL,Medium,Small,XX-Large",2599,1039,60% off,Westernwear
life,solid viscose womens regular fit top - olive,"Large,Medium,Small,X-Large,X-Small",899,449,50% off,Westernwear
zink london,regular fit mini polyester womens skirt - blue,"Large,Medium,Small,X-Large",1599,639,60% off,Westernwear
zink london,printed rayon womens regular top - black,"Large,Medium,X-Large",1599,639,60% off,Westernwear
zink london,regular fit knee length polyester womens casual skirt - navy,"Large,Medium,Small,X-Large",1999,1599,20% off,Westernwear
only,solid slim fit nylon womens casual wear pants - black,"Large,Medium,Small,X-Large,X-Small",2799,1399,50% off,Westernwear
van heusen,womens solid formal shirt - dark blue,"Large,Medium,Small,X-Large,X-Small",1699,999,41% off,Westernwear
kraus,skinny ankle length cotton blend womens jeans - blue,"28,30,32,34,36,38",1895,1326,30% off,Westernwear
madame,solid polyester sweetheart neck womens bodycon top - blue,X-Large,1699,1189,30% off,Westernwear
and,solid cotton round neck womens regular gown - sage,12,4499,3149,30% off,Westernwear
kraus,solid viscose round neck womens regular fit top - aqua,"Large,Medium",999,499,50% off,Westernwear
and,womens regular fit striped jumpsuit - brown mix,8,2999,1499,50% off,Westernwear
zink london,regular fit ankle length polyester womens casual skirt - pink,X-Small,1899,499,74% off,Westernwear
cover story,printed round neck recycle polyester womens regular top - mint,"Small,X-Large",1990,1194,40% off,Westernwear
insense,womens  round neck  stripe t-shirt - mint,"Small,X-Small",399,199,50% off,Westernwear
and,solid polyester round neck womens casual jacket - blue mix light,"8,10,12,14",4299,2149,50% off,Westernwear
samshek,solid georgette square neck womens regular top - black,"4X-Large,5X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large",990,891,10% off,Westernwear
crimsoune club,womens white checked top - white,"Large,Medium,Small,X-Large,XX-Large",1699,849,50% off,Westernwear
zink london,printed shirt collar polyester womens a-line dress - off white,"Large,Medium,Small,X-Large,XX-Large",2999,1199,60% off,Westernwear
crimsoune club,womens black striped trouser - black,"26,28,32,34,36",1999,1199,40% off,Westernwear
fratini,solid round neck polyester womens regular fit dress - navy,"Large,Medium,Small,X-Large,XX-Large",1699,849,50% off,Westernwear
only,printed cotton round neck womens t-shirt - white,"Large,Medium,Small,X-Large,X-Small",1999,1399,30% off,Westernwear
janasya,cotton blend womens western dresses - blue,X-Small,2698,944,65% off,Westernwear
fratini,printed jersey round neck womens regular fit knit top - blush,Small,599,299,50% off,Westernwear
samshek,solid v neck polyester womens a line dress - green,"4X-Large,5X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large",2699,1889,30% off,Westernwear
sera,printed sweetheart neck polyester womens a-line dress - black,"Large,Medium,Small,X-Large",1998,999,50% off,Westernwear
life,polyester round neck womens regular top - off white,"Large,Medium,Small,X-Large,X-Small",1199,599,50% off,Westernwear
van heusen,solid viscose v-neck womens woven top - mid blue,"Large,Medium,Small,X-Large,X-Small",1299,999,23% off,Westernwear
juniper,solid slim fit silk blend womens casual trousers - gold,"4X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large",999,749,25% off,Westernwear
global desi,self design viscose shirt collar womens curved top - yellow,"XL,Large,Medium,Small,X-Small,XX-Large",1899,759,60% off,Westernwear
kraus,printed rayon round neck womens regular tops - off white,"Large,Small",1199,599,50% off,Westernwear
marie claire,solid fleece hood womens sweatshirt - black,"Large,Medium,Small",1799,719,60% off,Westernwear
life,printed cotton round neck womens top and shorts set - navy marl,"Large,Medium,Small,X-Large,XX-Large",1299,649,50% off,Westernwear
madame,solid polyster womens dress - aqua,Medium,2399,1199,50% off,Westernwear
kraus,super skinny fit full length cotton womens jeans - dark blue,"30,36,38",1895,947,50% off,Westernwear
kraus,clean look cotton blend skinny fit womens jeans - light blue,"28,30,32,34,36,38",1995,1396,30% off,Westernwear
vero moda,solid viscose round neck womens  tops - pink,"Large,Medium,Small,X-Large,X-Small",2599,1559,40% off,Westernwear
pepe,tie dye & aop poly linen slub jersey crew neck womens t-shirt - lime green,"Large,Medium,Small,X-Large",899,539,40% off,Westernwear
is.u,womens striped cold shoulder top - orange,"Medium,Small,X-Small",2199,659,70% off,Westernwear
stop,stripes acrylic regular fit womens sweater - multi,"Large,Medium,X-Large",2499,999,60% off,Westernwear
indya,regular fit ankle length georgette womens festive wear skirt - yellow,"Large,Medium,Small,X-Large,X-Small",3200,1600,50% off,Westernwear
gipsy,embellished cotton choker neck womens blouson top - sunset,"Large,Medium,XX-Large",1895,1326,30% off,Westernwear
109f,womens round neck solid shift dress - black,Medium,1799,719,60% off,Westernwear
and,self design viscose shirt collar womens peplum top - lemon,"8,14,16",1699,849,50% off,Westernwear
vero moda,flared three quarter length polyester womens casual wear skirts - pink,"Large,Medium,Small,X-Large,X-Small",2799,2239,20% off,Westernwear
only,printed cotton round neck womens t-shirt - white,"Large,Medium,Small,X-Large,X-Small",999,699,30% off,Westernwear
vero moda,printed relaxed cotton womens casual wear pants - green,"Large,Medium,Small,X-Large,X-Small",2499,1499,40% off,Westernwear
spykar,printed cotton round neck womens regular t-shirt - lime green,"Large,Medium,Small,X-Large,XX-Large",999,699,30% off,Westernwear
puma,printed cotton regular fit womens casual wear track pants - black,"Large,Medium,Small,X-Large,X-Small",2799,1959,30% off,Westernwear
kraus,womens floral print casual shirt - black,"Medium,Small",1399,699,50% off,Westernwear
samshek,solid v-neck crepe womens regular dress - white,"4X-Large,5X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XX-Small,XXX-Large",2590,2072,20% off,Westernwear
zink london,womens regular fit stripes shorts - white,Large,1499,399,73% off,Westernwear
zink london,solid polyester round neck womens dress - pink,"Large,Medium,Small,X-Large",2299,1149,50% off,Westernwear
zink london,womens regular fit round neck solid lace trimming top - blue,"Large,Small",1499,499,67% off,Westernwear
rare,solid sweetheart neck womens regular fit top - purple,"Large,Medium,Small,X-Large,X-Small",1499,599,60% off,Westernwear
marie claire,solid loose fit polyester womens casual pants - pink,26,1999,999,50% off,Westernwear
zink london,solid cowl neck polyester women casual jackets - black,"Large,Medium",5499,2199,60% off,Westernwear
allen solly,womens 3 pocket solid trousers - black,"26,34,36",1799,1439,20% off,Westernwear
rare,printed square neck polyester womens a-line dress - natural,"Medium,Small",2090,940,55% off,Westernwear
allen solly,solid cotton regular neck womens dress - off white,"X-Large,X-Small,XX-Large",2499,1499,40% off,Westernwear
latin quarters,printed v neck polyester womens regular blouse - green,"S,M,L,XL",1499,1049,30% off,Westernwear
latin quarters,solid 100% polyester v- neck womens blouson casual top - pink,"S,M",1499,749,50% off,Westernwear
magre,solid satin regular fit womens festive skirt - natural,"Large,Medium,Small,X-Small",1990,796,60% off,Westernwear
faballey,abstract viscose round neck womens blouse - multi,"Large,Medium,Small,X-Large,X-Small",1500,1200,20% off,Westernwear
only,slim fit regular cotton womens jeans - blue,"25,26,27,28,29,30,31,32,33,34",2799,2239,20% off,Westernwear
latin quarters,dyed v-neck polyester womens regular dress - ivory,"S,L,XL,X-Small",2699,1349,50% off,Westernwear
pepe,cotton blend skinny fit womens jeans - tint,"26,28,30,32,36",3499,2099,40% off,Westernwear
madame,women solid side tape jeggings - blue,"26,28",1699,849,50% off,Westernwear
puma,printed polyester crew neck womens t-shirt - peach,"Large,Medium,Small,X-Large",1999,1399,30% off,Westernwear
faballey,floral sleeveless georgette womens regular length jumpsuit - natural,"Medium,Small,X-Large,X-Small",2200,1100,50% off,Westernwear
zink london,regular fit regular polyester womens casual skirt - pink,"Large,Medium,Small,X-Large",1699,899,47% off,Westernwear
fratini,printed polyester v-neck womens regular top - sage,"Large,Medium,Small,X-Large,XX-Large",999,499,50% off,Westernwear
stop,solid regular neck acrylic womens pullover - maroon,"Large,Small,X-Large",1499,749,50% off,Westernwear
kraus,flared fit full length cotton blend womens jeans - navy,"28,30,32,34,36",1895,947,50% off,Westernwear
fratini,printed polyester square neck womens regular fit top - pink,"Large,Medium,Small,X-Large",1199,599,50% off,Westernwear
latin quarters,dyed notched collar polyester stretch womens shift dress - navy,"S,M,L,XL,X-Small",2499,1749,30% off,Westernwear
vero moda,solid viscose shirt collar womens casual shirt - green,"Medium,X-Large,X-Small",2499,1249,50% off,Westernwear
zink london,textured cotton round neck womens dress - red,"Large,Medium,Small,X-Large,X-Small,XX-Large",2599,1559,40% off,Westernwear
fratini,printed viscose round neck womens a-line dress - white,"Large,Medium,Small,X-Large,XX-Large",1799,899,50% off,Westernwear
zink london,textured round neck polyester womens midi dress - blue,"Large,Medium,Small,X-Large,X-Small,XX-Large",2399,1439,40% off,Westernwear
and,solid viscose v neck womens straight dress - sage,"8,10,12,14,16,18",2699,2159,20% off,Westernwear
lovegen,womens solid full length skirt - black,"Large,Medium,Small,X-Small",1399,559,60% off,Westernwear
faballey,solid crepe one shoulder womens regular dress - blue,"Large,Medium,Small,X-Large,X-Small",2500,2000,20% off,Westernwear
vero moda,printed cotton collared womens  shirts - green,"Large,Medium,Small,X-Large,X-Small",2499,1749,30% off,Westernwear
enamor,womens athleisure swing tank top - rose,"XL,Large,Medium,Small",499,349,30% off,Westernwear
magre,printed polyester blend square neck womens dress - white,"Medium,Small,X-Small",2490,1369,45% off,Westernwear
insense,solid regular neck polyester blend womens pullover - grey melange,"Large,Medium,Small,X-Large,X-Small",899,449,50% off,Westernwear
fratini,solid polyester round neck womens regular fit top - red,"Large,Medium,Small,X-Large,XX-Large",1199,599,50% off,Westernwear
