BrandName,Deatils,Sizes,MRP,SellPrice,Discount,Category
zink london,printed v neck polyester womens a-line dress - green,"Large,Medium,Small,X-Large,X-Small,XX-Large",2299,1149,50% off,Westernwear
and,polka dots boat neck viscose womens regular dresses - pink,"8,10,12,14,16,18",2899,2319,20% off,Westernwear
van heusen,solid cotton v neck womens formal shirt - green,"Large,Medium,Small",1999,799,60% off,Westernwear
life,printed cotton lycra round neck womens t-shirt - yellow,"Large,Medium,Small,X-Large,X-Small",699,349,50% off,Westernwear
life,solid cotton blend round neck womens t-shirt - pink,"Large,Medium,Small,X-Large",899,449,50% off,Westernwear
faballey,printed georgette round neck womens regular dress - pink,"Large,Medium,Small,X-Large,X-Small",2800,2240,20% off,Westernwear
rare,floral polyester v neck womens flared dress - natural,"Large,Medium,Small",2099,944,55% off,Westernwear
rare,solid polyester round neck womens a-line dress - red,"Large,Medium,Small,X-Large",1999,799,60% off,Westernwear
rare,solid georgette round neck womens top - maroon,"Large,Small,X-Large",1399,559,60% off,Westernwear
stop,printed viscose regular neck womens top - white,"Large,Medium,Small,X-Large,X-Small,XX-Large",999,499,50% off,Westernwear
fratini,printed viscose collar neck womens a-line dress - black,"Large,Medium,Small,X-Large,XX-Large",1599,799,50% off,Westernwear
life,solid cotton lycra round neck womens t-shirt - off white,"Large,Medium,Small,X-Large,X-Small",699,349,50% off,Westernwear
life,printed jersey round neck womens t-shirt - lilac,"Large,Medium,Small,X-Large,X-Small",599,299,50% off,Westernwear
only,checks cotton womens top - white,"34,36,38,40,42",1999,1399,30% off,Westernwear
life,regular fit regular length cotton lycra womens jeans - white,"26,28,30,32,34,36",1299,649,50% off,Westernwear
van heusen,solid polyester collar neck womens top - black,"Small,X-Small",1699,999,41% off,Westernwear
fratini,solid polyester round neck womens a-line dress - aubergine,"Large,Medium,Small,X-Large,XX-Large",1599,799,50% off,Westernwear
life,printed cotton lycra round neck womens t-shirt - pink,"Large,Medium,Small,X-Large,X-Small",699,349,50% off,Westernwear
fratini,solid round neck viscose womens regular dress - tan,"Large,Medium,Small,X-Large,XX-Large",1499,749,50% off,Westernwear
kraus,super skinny fit ankle length cotton blend womens jeans - blue,"28,30,32,34,36,38",1995,1396,30% off,Westernwear
life,checks cotton blend collar neck womens regular top - sage,"Large,Medium,Small,X-Large,X-Small",1299,649,50% off,Westernwear
life,embroidered cotton blend round neck womens top - blue,"Large,Medium,Small,X-Large,X-Small",1299,649,50% off,Westernwear
rare,solid polyester blend boat neck womens flared dress - black,"Large,Medium,Small,X-Large",1699,764,55% off,Westernwear
and,solid polyester square neck womens flared dress - sage,"10,12,14,16,18",2699,2159,20% off,Westernwear
life,solid cotton blend round neck womens t-shirt - natural,"Large,Medium,X-Large,X-Small",899,449,50% off,Westernwear
kraus,wide leg fit ankle length cotton womens jeans - blue,"28,30,32",1695,1525,10% off,Westernwear
life,printed jersey round neck womens t-shirt - red,"Large,Medium,Small,X-Small",699,349,50% off,Westernwear
fratini,solid square neck polyester womens woven top - natural,"Large,Medium,X-Large,XX-Large",999,499,50% off,Westernwear
fratini,solid v-neck tencel womens a-line dress - light blue,"Large,Small",1699,849,50% off,Westernwear
zink london,printed cotton round neck womens t-shirt - brown,X-Large,1299,399,69% off,Westernwear
